Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8686068,"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,"Higashino, Keigo","Alexander O. Smith, Elye J. Alexander","=""0312375069""","=""9780312375065""",5,4.17,Minotaur Books,Hardcover,298,2011,2005,2025/01/16,2025/01/06,,,read,,,,1,0
16248196,The Art of Thinking Clearly,Rolf Dobelli,"Dobelli, Rolf",,"=""0062219685""","=""9780062219688""",0,3.85,Harper,Hardcover,384,2013,2011,,2024/12/28,currently-reading,currently-reading (#3),currently-reading,,,,1,0
2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",0,4.28,Simon & Schuster,Paperback,916,2006,2005,,2025/01/05,to-read,to-read (#20),to-read,,,,0,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",0,4.15,Simon & Schuster,Hardcover,630,2011,2011,,2025/01/05,to-read,to-read (#19),to-read,,,,0,0
24247896,Pebbles of Perception: How a Few Good Choices Make All The Difference,Laurence Endersen,"Endersen, Laurence",,"=""""","=""""",0,4.07,,Kindle Edition,147,2014,2014,,2024/12/28,currently-reading,currently-reading (#2),currently-reading,,,,1,0
6922765,The Little Book of Behavioral Investing: How not to be your own worst enemy,James Montier,"Montier, James",,"=""0470686022""","=""9780470686027""",4,4.10,Wiley,Hardcover,240,2010,2010,,2024/12/28,,,read,"1. Don't search elsewhere to confirm your decisions or justify your investment <br/>2. Don't mind the noise happening daily in the market and focus on the long term growth <br/>3. Write down why did you invest in a particular stock and and what were the metrics, and read it when you feel like selling the stock and see if your views still hold <br/>And it talks about different types of biases like one would keep holding a negative returning stock rather than minimising his losses, too much info like the noise created by the news channels will overload you and hamper your decisions , the way someone presents a information may affect your mindset differently and many more behavioural aspects in decision making.",true,,2,0
2389174,The Little Book That Builds Wealth: The Knockout Formula for Finding Great Investments,Pat Dorsey,"Dorsey, Pat",,"=""047022651X""","=""9780470226513""",0,4.29,Wiley,Hardcover,224,2008,2008,,2024/12/28,must-read,must-read (#20),must-read,,,,0,0
4427672,Warren Buffett and the Interpretation of Financial Statements: The Search for the Company with a Durable Competitive Advantage,Mary Buffett,"Buffett, Mary",David Clark,"=""1416573186""","=""9781416573180""",0,3.99,Scribner,Hardcover,180,2008,2008,,2024/12/28,must-read,must-read (#19),must-read,,,,0,0
1225848,Study Guide for Technical Analysis Explained : The Successful Investor's Guide to Spotting Investment Trends and Turning Points,Martin J. Pring,"Pring, Martin J.",,"=""0071381929""","=""9780071381925""",0,3.84,McGraw-Hill,Paperback,,2002,2002,,2024/12/28,must-read,must-read (#18),must-read,,,,0,0
116948,Secrets For Profiting in Bull and Bear Markets,Stan Weinstein,"Weinstein, Stan",,"=""1556236832""","=""9781556236839""",0,4.38,McGraw Hill,Paperback,368,1988,1988,,2024/12/28,must-read,must-read (#17),must-read,,,,0,0
16189528,Trade Like a Stock Market Wizard: How to Achieve Super Performance in Stocks in Any Market,Mark Minervini,"Minervini, Mark",,"=""0071807225""","=""9780071807227""",0,4.55,McGraw Hill,Hardcover,352,2013,2013,,2024/12/28,must-read,must-read (#16),must-read,,,,0,0
